epoch,step,test_accuracy,test_accuracy_hetero,test_accuracy_homo,test_contact_accuracy,test_contact_loss,test_contact_metrics_time_s,test_contact_precision,test_contact_recall,test_interaction_loss,test_loss,train_accuracy,train_contact_accuracy,train_contact_loss,train_contact_metrics_time_s,train_contact_precision,train_contact_recall,train_interaction_loss,train_loss,val_accuracy,val_contact_accuracy,val_contact_loss,val_contact_metrics_time_s,val_contact_precision,val_contact_recall,val_interaction_loss,val_loss
0,4047,,,,,,,,,,,,,,,,,,,0.5,0.998173713684082,0.03155195713043213,0.0010303877061232924,0.0,0.0,0.9918205142021179,0.5654969215393066
0,4047,,,,,,,,,,,0.6850605010986328,0.9951292872428894,0.09158455580472946,0.001502096769399941,0.004922215361148119,0.006303094327449799,0.5757351517677307,0.3346695303916931,,,,,,,,
1,8095,,,,,,,,,,,,,,,,,,,0.5203915238380432,0.9981695413589478,0.028835956007242203,0.0010192241752520204,0.0,0.0,0.9215524792671204,0.5263367295265198
1,8095,,,,,,,,,,,0.7453680634498596,0.9966266751289368,0.04607571288943291,0.0015081483870744705,0.005493910983204842,0.003830292262136936,0.49215489625930786,0.27010101079940796,,,,,,,,
2,12143,,,,,,,,,,,,,,,,,,,0.5334420800209045,0.9981656670570374,0.0295356847345829,0.0010343450121581554,0.0008658008882775903,2.4320248485310003e-05,0.9079713225364685,0.5208621621131897
2,12143,,,,,,,,,,,0.7634325623512268,0.9966627359390259,0.04036536067724228,0.0015185169177129865,0.006266393233090639,0.0044680144637823105,0.46467500925064087,0.25354495644569397,,,,,,,,
3,16191,,,,,,,,,,,,,,,,,,,0.5391517281532288,0.9981676340103149,0.022176509723067284,0.0009770275792106986,0.0009276438504457474,1.2160124242655002e-05,0.9148056507110596,0.5152471661567688
3,16191,,,,,,,,,,,0.7772665619850159,0.9968123435974121,0.03770735487341881,0.001552409608848393,0.0063321092166006565,0.004312899895012379,0.4461131989955902,0.24279366433620453,,,,,,,,
4,20239,,,,,,,,,,,,,,,,,,,0.5513865947723389,0.9981550574302673,0.022528480738401413,0.0010793838882818818,0.002608474111184478,0.00011453268234618008,0.858081042766571,0.4952872395515442
4,20239,,,,,,,,,,,0.7886610627174377,0.9969465732574463,0.03526574745774269,0.0015223824884742498,0.007113826926797628,0.004452562890946865,0.4275349974632263,0.2322283834218979,,,,,,,,
5,24287,,,,,,,,,,,,,,,,,,,0.524469792842865,0.998162031173706,0.019384801387786865,0.0010751740774139762,0.012987012974917889,2.4320248485310003e-05,0.9700482487678528,0.5363057851791382
5,24287,,,,,,,,,,,0.7994379997253418,0.9968761205673218,0.03453037515282631,0.0015362907433882356,0.007351388689130545,0.004633842967450619,0.41222497820854187,0.2238529920578003,,,,,,,,
6,28335,,,,,,,,,,,,,,,,,,,0.5228384733200073,0.9981635808944702,0.019937574863433838,0.0010294064413756132,0.009379509836435318,3.8092264730948955e-05,0.9232085347175598,0.5231629610061646
6,28335,,,,,,,,,,,0.8077136874198914,0.996926486492157,0.03325043246150017,0.00152562465518713,0.007345395162701607,0.004202385898679495,0.39859679341316223,0.21680910885334015,,,,,,,,
7,32383,,,,,,,,,,,,,,,,,,,0.5668841600418091,0.9981293082237244,0.023331260308623314,0.0010510978754609823,0.001437379396520555,8.839596557663754e-05,0.8286904692649841,0.4950997531414032
7,32383,,,,,,,,,,,0.8125617504119873,0.9969029426574707,0.032929010689258575,0.00152190076187253,0.007683680858463049,0.004693388007581234,0.3902105987071991,0.211936354637146,,,,,,,,
8,36431,,,,,,,,,,,,,,,,,,,0.5554649233818054,0.9981262683868408,0.020844852551817894,0.0010407005902379751,0.001291019143536687,9.104958007810637e-05,0.8747888207435608,0.507469117641449
8,36431,,,,,,,,,,,0.8213932514190674,0.9969071745872498,0.03222629055380821,0.0015484205214306712,0.007520290091633797,0.00452530849725008,0.37639153003692627,0.2050912082195282,,,,,,,,
9,40479,,,,,,,,,,,,,,,,,,,0.5277324914932251,0.9981483221054077,0.018256649374961853,0.0010483806254342198,0.0005903188139200211,1.2160124242655002e-05,0.9443463087081909,0.5297603607177734
9,40479,,,,,,,,,,,0.8302556872367859,0.9969399571418762,0.031414490193128586,0.001536272931843996,0.0076096681877970695,0.004679054021835327,0.36210647225379944,0.19748124480247498,,,,,,,,
10,40480,0.5801324248313904,0.5053380727767944,0.6244725584983826,0.9984562397003174,0.02367665432393551,0.0010897903703153133,0.006592265330255032,0.0002070310147246346,0.7737549543380737,0.4631676971912384,,,,,,,,,,,,,,,,
