epoch,step,train_accuracy,train_contact_accuracy,train_contact_loss,train_contact_precision,train_contact_recall,train_interaction_loss,train_loss,val_accuracy,val_contact_accuracy,val_contact_loss,val_contact_precision,val_contact_recall,val_interaction_loss,val_loss
0,4279,,,,,,,,0.5,0.9981404542922974,0.03502574935555458,0.013892616145312786,0.0002666908549144864,4.805057525634766,0.12350093573331833
0,4279,0.49997079372406006,0.9978157877922058,0.0472683347761631,0.007251998409628868,0.0006511795218102634,4.8648295402526855,0.13658638298511505,,,,,,,
1,8559,,,,,,,,0.5,0.9981369972229004,0.020177718251943588,0.03615235537290573,0.0002746337268035859,4.784366130828857,0.1085405945777893
1,8559,0.5,0.9980159401893616,0.021404363214969635,0.09773819893598557,0.014616032131016254,4.862173557281494,0.11115360260009766,,,,,,,
2,12839,,,,,,,,0.5,0.9981371760368347,0.017076844349503517,0.06869398802518845,0.0008985361782833934,4.7504563331604,0.10486971586942673
2,12839,0.5,0.9978337287902832,0.020650019869208336,0.1749422699213028,0.04599831625819206,4.71487283706665,0.10768234729766846,,,,,,,
3,17119,,,,,,,,0.5,0.9981216192245483,0.018365638330578804,0.039570655673742294,0.0010105500696226954,4.646586894989014,0.10421503335237503
3,17119,0.5,0.9976779818534851,0.021599160507321358,0.19034062325954437,0.06875021010637283,4.583399295806885,0.10617578774690628,,,,,,,
4,21399,,,,,,,,0.5,0.9981393218040466,0.017749372869729996,0.03791887313127518,0.00015080707089509815,4.734865188598633,0.1052410751581192
4,21399,0.5,0.9975618124008179,0.02232315205037594,0.19959482550621033,0.07837013900279999,4.503482818603516,0.1054053008556366,,,,,,,
5,25679,,,,,,,,0.5,0.9981178641319275,0.01740124635398388,0.06240363046526909,0.0015247523551806808,4.614446640014648,0.10267603397369385
5,25679,0.5,0.9975073337554932,0.022869646549224854,0.20149923861026764,0.08790251612663269,4.428977966308594,0.1045607328414917,,,,,,,
6,29959,,,,,,,,0.5,0.9981330633163452,0.01571720838546753,0.0582122839987278,0.0006973315612412989,4.719634532928467,0.10296504199504852
6,29959,0.5,0.9974350333213806,0.023430589586496353,0.20853891968727112,0.09433271735906601,4.373997688293457,0.10409145802259445,,,,,,,
